FSC-A,FSC-H,FSC-W,SSC-A,SSC-H,SSC-W,CD4,CD8,CD25,FoxP3,BV786-A,CD3,PE-A,IL2,PerCP-Cy5-5-A,APC-A,CD44,APC-Cy7-A,Time,source_file,Alexa Fluor 488-A,PerCP-A,BV421-A,BV510-A,BV605-A,BV650-A,BB515-A,PE-CF594-A,APC-R700-A,anomaly,true_label,feat_0,feat_1,feat_2,feat_3,feat_4,0,1,2,cluster,UMAP_1,UMAP_2
28225.047,29507.156,181816.77,31680.268,32731.564,132030.08,169.09334,603.445,744.61884,1347.3593,807.5235,119.24484,132.47392,103.35549,181.48248,865.4974,443.13065,1787.4768,3.2260883,gated_data.csv,,,,,,,,,,0,1,-0.14222057,-0.12734891,-0.7310515,-0.035653323,-0.021391084,,,,,,
55150.387,56373.125,190314.33,24072.203,25062.832,90410.25,14.241908,82.03943,593.9757,3737.6196,662.9573,11.279412,152.36069,960.06464,4027.6274,2450.2583,652.6157,3666.4993,3.2881763,gated_data.csv,,,,,,,,,,0,1,-0.09440543,-0.010355622,-0.32294744,-0.031989016,-0.021644512,,,,,,
56762.418,56916.285,216409.06,45688.918,46808.03,123366.68,3.7162967,104.75141,719.28546,2266.2812,1391.9072,-1.7897098,147.45648,812.8954,2087.0771,1207.543,622.06433,7969.2515,3.3555121,gated_data.csv,,,,,,,,,,0,1,-0.2735477,-0.122306205,-0.81761193,-0.036987476,-0.020854106,,,,,,
76954.8,71130.48,219827.92,48163.9,45804.938,126842.055,148.124,115.1799,1496.1573,7112.68,1606.1832,32.60827,473.29877,1728.9974,6804.66,2197.3662,896.10315,2226.5588,3.3826241,gated_data.csv,,,,,,,,,,0,1,0.09451995,-0.00095041015,0.1264346,-0.009102295,-0.015649157,,,,,,
49899.535,49144.2,213676.31,52145.605,53321.79,131632.47,98.24608,47.2171,294.48892,2289.8418,1586.9686,18.740765,121.333786,529.52466,1752.1718,1316.0496,593.0764,8096.2954,3.3854165,gated_data.csv,,,,,,,,,,0,1,0.0884087,0.031550497,0.3278272,0.0022974804,-0.016013466,,,,,,
54175.5,53497.68,217397.14,50144.938,51353.88,136005.52,112.261894,281.80518,706.0183,3162.3286,2339.9368,33.020943,132.56862,692.0211,2541.5715,10492.3,2664.9883,13936.133,3.6404805,gated_data.csv,,,,,,,,,,0,1,0.2577014,0.26856765,1.124416,0.037936628,-0.013165662,,,,,,
45692.62,46498.004,193499.25,24962.184,25833.041,92816.43,11.394868,-44.547894,512.2305,4335.2134,473.04614,-15.694379,294.95523,647.09485,2354.4783,17093.857,2881.512,1645.5377,3.739144,gated_data.csv,,,,,,,,,,0,1,-0.031238554,-0.08501119,-0.3356269,-0.041129082,-0.020246642,,,,,,
61218.082,62188.832,210883.84,34248.457,36322.953,113651.086,98.066925,146.88103,531.7028,4589.634,597.8199,-38.318146,14.522547,945.65515,3568.9568,8984.788,1643.037,842.55664,3.8041763,gated_data.csv,,,,,,,,,,0,1,0.15719526,0.072720885,0.85883343,0.04258371,0.026898038,,,,,,
55420.324,56333.598,197559.22,26247.598,27446.117,101460.14,150.90483,31.309832,436.90234,3448.7158,1185.4086,-26.983318,121.9508,651.72974,2423.4507,11259.783,2304.8398,5833.477,3.8146405,gated_data.csv,,,,,,,,,,0,1,-0.14457382,-0.11564785,-0.06671624,-0.014893321,-0.018458245,,,,,,
78762.555,79009.05,211195.61,36450.777,38042.91,118610.92,72.20896,187.75017,131.70618,89.87948,814.9005,35.03662,-70.53292,36.539658,-58.922756,1330.238,562.68646,8082.596,3.8549283,gated_data.csv,,,,,,,,,,0,1,0.3352372,-0.09958627,1.0356069,0.046985097,-0.013472029,,,,,,
59608.85,61515.934,189643.89,23161.525,25044.236,81377.81,85.57179,148.95247,193.15277,558.5788,412.0951,49.380367,217.23682,41.802338,73.27718,315.18155,249.96808,2347.949,4.046688,gated_data.csv,,,,,,,,,,0,1,-0.2319731,0.0031236024,-0.7931738,-0.056002036,-0.0219627,,,,,,
65831.11,67293.9,206589.34,30594.15,31877.406,114430.25,-37.113712,163.01755,1435.2542,4267.2764,1025.345,29.727247,3433.765,1765.8013,3256.5376,3322.388,1158.3455,4204.357,4.228568,gated_data.csv,,,,,,,,,,0,1,0.10425085,-0.073115975,-0.08710899,-0.014449481,-0.01686969,,,,,,
77273.6,77408.83,215533.45,43826.254,45453.137,127680.41,18.908354,325.89157,56.996937,52.092148,1619.2788,19.749596,55.152287,12.026201,-148.5918,1702.4004,733.83264,12221.827,4.4311285,gated_data.csv,,,,,,,,,,0,1,0.11301829,0.14954434,0.42577618,-0.0019744588,-0.016694115,,,,,,
52005.574,52397.17,203104.16,31968.824,31145.102,141653.02,83.11733,273.37073,723.23126,4292.3237,885.52515,51.23549,102.87888,776.22925,3266.6794,9456.052,1463.1531,1452.8245,4.4657044,gated_data.csv,,,,,,,,,,0,1,-0.009380464,0.009454449,-0.26905966,-0.01828023,-0.006529454,,,,,,
